entity_id,product_type,channel,entered_date,iso_week,potential_value_vnd,final_stage,drop_transition,drop_reason
E00066,standard_application,agent_referral,2025-12-18,51,21000000,submitted,submission_to_approval,docs_invalid
E00067,express_application,agent_referral,2025-12-11,50,15000000,submitted,submission_to_approval,policy_check
E00068,express_application,web,2025-12-21,51,12000000,traffic,traffic_to_submission,did_not_submit
E00069,express_application,agent_referral,2025-12-05,49,6000000,traffic,traffic_to_submission,did_not_submit
E00070,premium_application,agent_referral,2025-12-01,49,57000000,traffic,traffic_to_submission,no_partner_selected
E00071,premium_application,mobile_app,2025-12-05,49,84000000,traffic,traffic_to_submission,not_ready
E00072,standard_application,agent_referral,2025-12-25,52,25000000,submitted,submission_to_approval,docs_abandoned
E00073,partner_application,agent_referral,2025-12-10,50,19000000,submitted,submission_to_approval,docs_invalid
E00074,standard_application,web,2025-12-24,52,44000000,traffic,traffic_to_submission,did_not_submit
E00075,express_application,web,2025-12-02,49,8000000,traffic,traffic_to_submission,not_ready
E00076,standard_application,agent_referral,2025-12-16,51,49000000,traffic,traffic_to_submission,abandoned_before_submit
E00077,standard_application,web,2025-12-14,50,53000000,traffic,traffic_to_submission,did_not_submit
E00078,premium_application,mobile_app,2025-12-06,49,12500000,completed,,
E00079,standard_application,agent_referral,2025-12-29,1,14000000,traffic,traffic_to_submission,abandoned_before_submit
E00080,partner_application,agent_referral,2025-12-18,51,31000000,submitted,submission_to_approval,eligibility_check
E00081,standard_application,mobile_app,2025-12-22,52,22000000,submitted,submission_to_approval,policy_check
E00082,express_application,mobile_app,2025-12-11,50,10000000,traffic,traffic_to_submission,abandoned_before_submit
E00083,express_application,web,2025-12-14,50,5000000,traffic,traffic_to_submission,no_partner_selected
E00084,express_application,web,2025-12-11,50,12500000,completed,,
E00085,partner_application,mobile_app,2025-12-22,52,19000000,submitted,submission_to_approval,eligibility_check
E00086,standard_application,mobile_app,2025-12-04,49,41000000,submitted,submission_to_approval,docs_abandoned
E00087,express_application,web,2025-12-05,49,11000000,submitted,submission_to_approval,policy_check
E00088,standard_application,web,2025-12-02,49,50000000,traffic,traffic_to_submission,not_ready
E00089,express_application,agent_referral,2025-12-28,52,13000000,submitted,submission_to_approval,docs_abandoned
E00090,standard_application,agent_referral,2025-12-31,1,27000000,traffic,traffic_to_submission,abandoned_before_submit
E00091,express_application,mobile_app,2025-12-03,49,11000000,traffic,traffic_to_submission,abandoned_before_submit
E00092,express_application,agent_referral,2025-12-28,52,10000000,submitted,submission_to_approval,eligibility_check
E00093,standard_application,web,2025-12-04,49,42000000,submitted,submission_to_approval,docs_abandoned
E00094,standard_application,web,2025-12-15,51,35000000,traffic,traffic_to_submission,no_partner_selected
E00095,express_application,web,2025-12-18,51,10000000,traffic,traffic_to_submission,abandoned_before_submit
E00096,partner_application,agent_referral,2025-12-23,52,31000000,submitted,submission_to_approval,docs_abandoned
E00097,express_application,agent_referral,2025-12-14,50,3000000,traffic,traffic_to_submission,did_not_submit
E00098,premium_application,web,2025-12-05,49,55000000,traffic,traffic_to_submission,abandoned_before_submit
E00099,standard_application,mobile_app,2025-12-22,52,24000000,traffic,traffic_to_submission,did_not_submit
E00100,partner_application,web,2025-12-31,1,23000000,traffic,traffic_to_submission,did_not_submit
E00101,standard_application,mobile_app,2025-12-11,50,42000000,traffic,traffic_to_submission,abandoned_before_submit
E00102,express_application,agent_referral,2025-12-24,52,7000000,submitted,submission_to_approval,docs_abandoned
E00103,partner_application,web,2025-12-10,50,23000000,traffic,traffic_to_submission,no_partner_selected
E00104,standard_application,web,2025-12-21,51,57000000,traffic,traffic_to_submission,not_ready
E00105,standard_application,agent_referral,2025-12-31,1,26000000,submitted,submission_to_approval,eligibility_check
E00106,express_application,web,2025-12-02,49,11000000,submitted,submission_to_approval,eligibility_check
E00107,premium_application,mobile_app,2025-12-29,1,12500000,completed,,
E00108,express_application,web,2025-12-09,50,16000000,traffic,traffic_to_submission,abandoned_before_submit
E00109,premium_application,web,2025-12-08,50,65000000,traffic,traffic_to_submission,did_not_submit
E00110,standard_application,mobile_app,2025-12-10,50,47000000,traffic,traffic_to_submission,did_not_submit
E00111,standard_application,web,2025-12-24,52,60000000,traffic,traffic_to_submission,abandoned_before_submit
E00112,premium_application,agent_referral,2025-12-22,52,107000000,traffic,traffic_to_submission,duplicate_entry
E00113,standard_application,mobile_app,2025-12-27,52,27000000,traffic,traffic_to_submission,no_partner_selected
E00114,premium_application,web,2025-12-12,50,162000000,traffic,traffic_to_submission,not_ready
E00115,premium_application,web,2025-12-08,50,117000000,traffic,traffic_to_submission,duplicate_entry
E00116,standard_application,agent_referral,2025-12-19,51,12500000,completed,,
E00117,partner_application,agent_referral,2025-12-03,49,22000000,submitted,submission_to_approval,docs_abandoned
E00118,standard_application,mobile_app,2025-12-08,50,14000000,traffic,traffic_to_submission,did_not_submit
E00119,partner_application,web,2025-12-12,50,27000000,submitted,submission_to_approval,docs_invalid
E00120,standard_application,mobile_app,2025-12-06,49,40000000,submitted,submission_to_approval,docs_abandoned
E00121,standard_application,agent_referral,2025-12-20,51,42000000,submitted,submission_to_approval,docs_abandoned
E00122,standard_application,mobile_app,2025-12-04,49,51000000,traffic,traffic_to_submission,did_not_submit
E00123,standard_application,mobile_app,2025-12-12,50,14000000,traffic,traffic_to_submission,did_not_submit
E00124,express_application,mobile_app,2025-12-15,51,11000000,traffic,traffic_to_submission,abandoned_before_submit
E00125,premium_application,mobile_app,2025-12-02,49,12500000,completed,,
E00126,partner_application,web,2025-12-20,51,34000000,traffic,traffic_to_submission,did_not_submit
E00127,standard_application,mobile_app,2025-12-07,49,35000000,traffic,traffic_to_submission,not_ready
E00128,standard_application,web,2025-12-27,52,18000000,traffic,traffic_to_submission,did_not_submit
E00129,standard_application,agent_referral,2025-12-31,1,19000000,traffic,traffic_to_submission,not_ready
E00130,premium_application,web,2025-12-01,49,132000000,approved,approval_to_completion,offer_expired
E00131,standard_application,agent_referral,2025-12-17,51,52000000,traffic,traffic_to_submission,did_not_submit
E00132,premium_application,mobile_app,2025-12-02,49,162000000,traffic,traffic_to_submission,no_partner_selected
E00133,standard_application,web,2025-12-10,50,46000000,traffic,traffic_to_submission,abandoned_before_submit
E00134,standard_application,web,2025-12-11,50,50000000,traffic,traffic_to_submission,no_partner_selected
E00135,premium_application,mobile_app,2025-12-27,52,95000000,traffic,traffic_to_submission,abandoned_before_submit
E00136,standard_application,agent_referral,2025-12-13,50,39000000,submitted,submission_to_approval,policy_check
E00137,express_application,agent_referral,2025-12-17,51,10000000,traffic,traffic_to_submission,did_not_submit
E00138,standard_application,web,2025-12-15,51,47000000,traffic,traffic_to_submission,no_partner_selected
E00139,standard_application,agent_referral,2025-12-31,1,33000000,submitted,submission_to_approval,eligibility_check
E00140,premium_application,mobile_app,2025-12-10,50,79000000,traffic,traffic_to_submission,did_not_submit
E00141,standard_application,agent_referral,2025-12-18,51,13000000,traffic,traffic_to_submission,no_partner_selected
E00142,partner_application,agent_referral,2025-12-18,51,31000000,submitted,submission_to_approval,policy_check
E00143,standard_application,mobile_app,2025-12-25,52,14000000,traffic,traffic_to_submission,abandoned_before_submit
E00144,express_application,agent_referral,2025-12-01,49,4000000,traffic,traffic_to_submission,abandoned_before_submit
E00145,premium_application,web,2025-12-08,50,78000000,traffic,traffic_to_submission,abandoned_before_submit
E00146,express_application,web,2025-12-20,51,10000000,submitted,submission_to_approval,docs_abandoned
E00147,standard_application,mobile_app,2025-12-05,49,29000000,submitted,submission_to_approval,policy_check
E00148,standard_application,mobile_app,2025-12-02,49,45000000,traffic,traffic_to_submission,duplicate_entry
E00149,express_application,agent_referral,2025-12-24,52,4000000,submitted,submission_to_approval,eligibility_check
E00150,standard_application,web,2025-12-29,1,26000000,submitted,submission_to_approval,docs_invalid
E00151,premium_application,mobile_app,2025-12-25,52,80000000,traffic,traffic_to_submission,no_partner_selected
E00152,standard_application,mobile_app,2025-12-19,51,50000000,traffic,traffic_to_submission,abandoned_before_submit
E00153,express_application,mobile_app,2025-12-11,50,11000000,traffic,traffic_to_submission,abandoned_before_submit
E00154,standard_application,mobile_app,2025-12-14,50,47000000,submitted,submission_to_approval,policy_check
E00155,standard_application,mobile_app,2025-12-24,52,38000000,traffic,traffic_to_submission,did_not_submit
E00156,partner_application,web,2025-12-22,52,10000000,traffic,traffic_to_submission,no_partner_selected
E00157,standard_application,web,2025-12-27,52,36000000,traffic,traffic_to_submission,duplicate_entry
E00158,standard_application,mobile_app,2025-12-24,52,12000000,traffic,traffic_to_submission,abandoned_before_submit
E00159,standard_application,mobile_app,2025-12-17,51,46000000,traffic,traffic_to_submission,did_not_submit
E00160,standard_application,mobile_app,2025-12-16,51,52000000,submitted,submission_to_approval,policy_check
E00161,standard_application,web,2025-12-01,49,47000000,traffic,traffic_to_submission,no_partner_selected
E00162,premium_application,web,2025-12-21,51,52000000,traffic,traffic_to_submission,did_not_submit
E00163,standard_application,mobile_app,2025-12-22,52,36000000,traffic,traffic_to_submission,abandoned_before_submit
E00164,standard_application,web,2025-12-25,52,53000000,traffic,traffic_to_submission,not_ready
E00165,express_application,mobile_app,2025-12-22,52,8000000,traffic,traffic_to_submission,no_partner_selected
E00166,standard_application,web,2025-12-19,51,42000000,traffic,traffic_to_submission,duplicate_entry
E00167,standard_application,agent_referral,2025-12-26,52,52000000,traffic,traffic_to_submission,abandoned_before_submit
E00168,express_application,mobile_app,2025-12-02,49,6000000,traffic,traffic_to_submission,abandoned_before_submit
E00169,standard_application,web,2025-12-14,50,46000000,traffic,traffic_to_submission,no_partner_selected
E00170,premium_application,mobile_app,2025-12-26,52,157000000,traffic,traffic_to_submission,abandoned_before_submit
E00171,express_application,web,2025-12-31,1,6000000,traffic,traffic_to_submission,did_not_submit
E00172,standard_application,agent_referral,2025-12-29,1,58000000,submitted,submission_to_approval,docs_invalid
E00173,premium_application,web,2025-12-10,50,139000000,traffic,traffic_to_submission,did_not_submit
E00174,standard_application,mobile_app,2025-12-10,50,44000000,traffic,traffic_to_submission,not_ready
E00175,partner_application,web,2025-12-24,52,21000000,traffic,traffic_to_submission,did_not_submit
E00176,standard_application,web,2025-12-23,52,32000000,traffic,traffic_to_submission,abandoned_before_submit
E00177,standard_application,mobile_app,2025-12-22,52,36000000,traffic,traffic_to_submission,did_not_submit
E00178,premium_application,agent_referral,2025-12-19,51,161000000,traffic,traffic_to_submission,abandoned_before_submit
E00179,standard_application,web,2025-12-18,51,46000000,submitted,submission_to_approval,policy_check
E00180,standard_application,mobile_app,2025-12-03,49,36000000,traffic,traffic_to_submission,no_partner_selected
E00181,premium_application,web,2025-12-30,1,137000000,traffic,traffic_to_submission,abandoned_before_submit
E00182,partner_application,web,2025-12-22,52,28000000,submitted,submission_to_approval,policy_check
E00183,standard_application,mobile_app,2025-12-23,52,36000000,traffic,traffic_to_submission,did_not_submit
E00184,partner_application,web,2025-12-13,50,23000000,traffic,traffic_to_submission,did_not_submit
E00185,express_application,mobile_app,2025-12-11,50,11000000,traffic,traffic_to_submission,did_not_submit
E00186,partner_application,agent_referral,2025-12-09,50,32000000,submitted,submission_to_approval,policy_check
E00187,standard_application,web,2025-12-05,49,19000000,traffic,traffic_to_submission,no_partner_selected
E00188,standard_application,mobile_app,2025-12-29,1,16000000,traffic,traffic_to_submission,abandoned_before_submit
E00189,express_application,web,2025-12-20,51,8000000,traffic,traffic_to_submission,no_partner_selected
E00190,standard_application,web,2025-12-22,52,25000000,traffic,traffic_to_submission,not_ready
E00191,standard_application,mobile_app,2025-12-19,51,15000000,traffic,traffic_to_submission,did_not_submit
E00192,partner_application,agent_referral,2025-12-01,49,15000000,traffic,traffic_to_submission,did_not_submit
E00193,premium_application,web,2025-12-15,51,154000000,traffic,traffic_to_submission,did_not_submit
E00194,standard_application,web,2025-12-09,50,34000000,traffic,traffic_to_submission,abandoned_before_submit
E00195,partner_application,agent_referral,2025-12-29,1,7000000,submitted,submission_to_approval,docs_abandoned
E00196,premium_application,mobile_app,2025-12-15,51,114000000,traffic,traffic_to_submission,no_partner_selected
E00197,express_application,web,2025-12-25,52,11000000,traffic,traffic_to_submission,not_ready
E00198,partner_application,mobile_app,2025-12-30,1,8000000,submitted,submission_to_approval,docs_abandoned
E00199,premium_application,web,2025-12-10,50,167000000,traffic,traffic_to_submission,not_ready
E00200,standard_application,mobile_app,2025-12-25,52,14000000,traffic,traffic_to_submission,abandoned_before_submit
E00201,partner_application,agent_referral,2025-12-26,52,21000000,submitted,submission_to_approval,docs_invalid
E00202,premium_application,mobile_app,2025-12-17,51,102000000,traffic,traffic_to_submission,no_partner_selected
E00203,standard_application,mobile_app,2025-12-22,52,36000000,submitted,submission_to_approval,docs_abandoned
E00204,standard_application,web,2025-12-08,50,42000000,traffic,traffic_to_submission,abandoned_before_submit
E00205,standard_application,mobile_app,2025-12-26,52,48000000,traffic,traffic_to_submission,not_ready
E00206,premium_application,mobile_app,2025-12-24,52,123000000,traffic,traffic_to_submission,did_not_submit
E00207,standard_application,agent_referral,2025-12-15,51,54000000,submitted,submission_to_approval,docs_invalid
E00208,standard_application,web,2025-12-09,50,21000000,traffic,traffic_to_submission,abandoned_before_submit
E00209,standard_application,web,2025-12-26,52,32000000,traffic,traffic_to_submission,duplicate_entry
E00210,standard_application,web,2025-12-13,50,37000000,traffic,traffic_to_submission,no_partner_selected
E00211,standard_application,web,2025-12-19,51,58000000,traffic,traffic_to_submission,no_partner_selected
E00212,partner_application,agent_referral,2025-12-13,50,27000000,submitted,submission_to_approval,policy_check
E00213,partner_application,agent_referral,2025-12-28,52,17000000,traffic,traffic_to_submission,abandoned_before_submit
E00214,standard_application,web,2025-12-22,52,22000000,traffic,traffic_to_submission,no_partner_selected
E00215,partner_application,web,2025-12-17,51,34000000,traffic,traffic_to_submission,abandoned_before_submit
E00216,partner_application,mobile_app,2025-12-09,50,18000000,submitted,submission_to_approval,docs_abandoned
E00217,express_application,mobile_app,2025-12-24,52,12500000,completed,,
E00218,partner_application,mobile_app,2025-12-09,50,5000000,traffic,traffic_to_submission,abandoned_before_submit
E00219,premium_application,agent_referral,2025-12-17,51,155000000,submitted,submission_to_approval,policy_check
E00220,standard_application,web,2025-12-17,51,55000000,submitted,submission_to_approval,docs_abandoned
E00221,premium_application,mobile_app,2025-12-03,49,131000000,traffic,traffic_to_submission,did_not_submit
E00222,express_application,web,2025-12-17,51,5000000,traffic,traffic_to_submission,abandoned_before_submit
E00223,express_application,mobile_app,2025-12-22,52,4000000,traffic,traffic_to_submission,abandoned_before_submit
E00224,express_application,agent_referral,2025-12-21,51,4000000,traffic,traffic_to_submission,did_not_submit
E00225,premium_application,mobile_app,2025-12-12,50,130000000,traffic,traffic_to_submission,abandoned_before_submit
E00226,partner_application,web,2025-12-22,52,11000000,submitted,submission_to_approval,docs_abandoned
E00227,standard_application,web,2025-12-30,1,35000000,traffic,traffic_to_submission,no_partner_selected
E00228,express_application,mobile_app,2025-12-21,51,16000000,traffic,traffic_to_submission,did_not_submit
E00229,partner_application,mobile_app,2025-12-03,49,18000000,traffic,traffic_to_submission,duplicate_entry
E00230,standard_application,mobile_app,2025-12-23,52,45000000,traffic,traffic_to_submission,did_not_submit
E00231,premium_application,mobile_app,2025-12-19,51,91000000,traffic,traffic_to_submission,no_partner_selected
E00232,standard_application,web,2025-12-29,1,21000000,traffic,traffic_to_submission,did_not_submit
E00233,express_application,mobile_app,2025-12-29,1,14000000,traffic,traffic_to_submission,did_not_submit
E00234,premium_application,mobile_app,2025-12-29,1,128000000,submitted,submission_to_approval,docs_invalid
E00235,partner_application,web,2025-12-03,49,8000000,submitted,submission_to_approval,docs_invalid
E00236,partner_application,mobile_app,2025-12-05,49,15000000,submitted,submission_to_approval,policy_check
E00237,premium_application,web,2025-12-23,52,143000000,traffic,traffic_to_submission,no_partner_selected
E00238,partner_application,web,2025-12-17,51,30000000,traffic,traffic_to_submission,not_ready
E00239,premium_application,mobile_app,2025-12-08,50,129000000,traffic,traffic_to_submission,did_not_submit
E00240,partner_application,mobile_app,2025-12-12,50,15000000,traffic,traffic_to_submission,no_partner_selected
E00241,premium_application,mobile_app,2025-12-09,50,167000000,traffic,traffic_to_submission,did_not_submit
E00242,express_application,web,2025-12-31,1,10000000,traffic,traffic_to_submission,abandoned_before_submit
E00243,standard_application,mobile_app,2025-12-31,1,38000000,traffic,traffic_to_submission,no_partner_selected
E00244,partner_application,web,2025-12-28,52,13000000,submitted,submission_to_approval,policy_check
E00245,standard_application,web,2025-12-23,52,12500000,completed,,
E00246,express_application,mobile_app,2025-12-10,50,4000000,traffic,traffic_to_submission,did_not_submit
E00247,standard_application,agent_referral,2025-12-20,51,15000000,traffic,traffic_to_submission,no_partner_selected
E00248,standard_application,agent_referral,2025-12-30,1,34000000,submitted,submission_to_approval,eligibility_check
E00249,express_application,web,2025-12-17,51,6000000,traffic,traffic_to_submission,no_partner_selected
E00250,standard_application,mobile_app,2025-12-30,1,49000000,traffic,traffic_to_submission,abandoned_before_submit
E00251,partner_application,agent_referral,2025-12-15,51,27000000,submitted,submission_to_approval,docs_invalid
E00252,premium_application,web,2025-12-30,1,126000000,traffic,traffic_to_submission,duplicate_entry
E00253,express_application,mobile_app,2025-12-14,50,9000000,submitted,submission_to_approval,eligibility_check
E00254,standard_application,mobile_app,2025-12-01,49,45000000,traffic,traffic_to_submission,not_ready
E00255,standard_application,web,2025-12-08,50,46000000,traffic,traffic_to_submission,abandoned_before_submit
E00256,standard_application,mobile_app,2025-12-02,49,24000000,traffic,traffic_to_submission,did_not_submit
E00257,standard_application,agent_referral,2025-12-25,52,46000000,traffic,traffic_to_submission,not_ready
E00258,standard_application,agent_referral,2025-12-15,51,47000000,submitted,submission_to_approval,docs_invalid
E00259,express_application,mobile_app,2025-12-04,49,6000000,traffic,traffic_to_submission,no_partner_selected
E00260,partner_application,agent_referral,2025-12-26,52,24000000,submitted,submission_to_approval,policy_check
E00261,standard_application,mobile_app,2025-12-06,49,19000000,traffic,traffic_to_submission,duplicate_entry
E00262,standard_application,agent_referral,2025-12-07,49,54000000,traffic,traffic_to_submission,no_partner_selected
E00263,partner_application,web,2025-12-17,51,27000000,submitted,submission_to_approval,docs_abandoned
E00264,partner_application,agent_referral,2025-12-04,49,17000000,submitted,submission_to_approval,docs_abandoned
E00265,standard_application,agent_referral,2025-12-25,52,51000000,traffic,traffic_to_submission,did_not_submit
E00266,premium_application,mobile_app,2025-12-02,49,79000000,submitted,submission_to_approval,docs_abandoned
E00267,express_application,web,2025-12-16,51,16000000,submitted,submission_to_approval,eligibility_check
E00268,express_application,agent_referral,2025-12-31,1,3000000,traffic,traffic_to_submission,not_ready
E00269,standard_application,mobile_app,2025-12-11,50,46000000,traffic,traffic_to_submission,no_partner_selected
E00270,premium_application,web,2025-12-28,52,84000000,traffic,traffic_to_submission,not_ready
E00271,express_application,mobile_app,2025-12-30,1,11000000,traffic,traffic_to_submission,did_not_submit
E00272,standard_application,web,2025-12-13,50,12500000,completed,,
E00273,standard_application,mobile_app,2025-12-29,1,12500000,completed,,
E00274,partner_application,agent_referral,2025-12-01,49,12500000,completed,,
E00275,express_application,mobile_app,2025-12-01,49,12000000,traffic,traffic_to_submission,did_not_submit
E00276,express_application,web,2025-12-02,49,9000000,traffic,traffic_to_submission,did_not_submit
E00277,express_application,mobile_app,2025-12-28,52,7000000,submitted,submission_to_approval,eligibility_check
E00278,standard_application,mobile_app,2025-12-28,52,52000000,submitted,submission_to_approval,docs_invalid
E00279,standard_application,web,2025-12-21,51,25000000,traffic,traffic_to_submission,did_not_submit
E00280,express_application,web,2025-12-24,52,11000000,traffic,traffic_to_submission,not_ready
E00281,standard_application,mobile_app,2025-12-28,52,41000000,traffic,traffic_to_submission,did_not_submit
E00282,standard_application,mobile_app,2025-12-26,52,12500000,completed,,
E00283,express_application,web,2025-12-16,51,6000000,traffic,traffic_to_submission,did_not_submit
E00284,standard_application,mobile_app,2025-12-25,52,54000000,traffic,traffic_to_submission,no_partner_selected
E00285,standard_application,web,2025-12-01,49,52000000,traffic,traffic_to_submission,duplicate_entry
E00286,standard_application,mobile_app,2025-12-09,50,21000000,traffic,traffic_to_submission,not_ready
E00287,standard_application,agent_referral,2025-12-25,52,41000000,traffic,traffic_to_submission,abandoned_before_submit
E00288,express_application,mobile_app,2025-12-12,50,11000000,traffic,traffic_to_submission,did_not_submit
E00289,express_application,agent_referral,2025-12-15,51,10000000,submitted,submission_to_approval,eligibility_check
E00290,premium_application,web,2025-12-07,49,81000000,traffic,traffic_to_submission,did_not_submit
E00291,express_application,mobile_app,2025-12-28,52,10000000,traffic,traffic_to_submission,did_not_submit
E00292,partner_application,agent_referral,2025-12-26,52,35000000,submitted,submission_to_approval,docs_invalid
E00293,standard_application,web,2025-12-12,50,57000000,traffic,traffic_to_submission,did_not_submit
E00294,express_application,agent_referral,2025-12-07,49,14000000,submitted,submission_to_approval,docs_abandoned
E00295,partner_application,agent_referral,2025-12-08,50,31000000,submitted,submission_to_approval,docs_abandoned
E00296,partner_application,web,2025-12-30,1,34000000,traffic,traffic_to_submission,abandoned_before_submit
E00297,standard_application,web,2025-12-23,52,37000000,traffic,traffic_to_submission,duplicate_entry
E00298,partner_application,web,2025-12-25,52,29000000,submitted,submission_to_approval,policy_check
E00299,premium_application,mobile_app,2025-12-29,1,138000000,submitted,submission_to_approval,docs_invalid
E00300,express_application,web,2025-12-22,52,8000000,traffic,traffic_to_submission,did_not_submit
E00301,standard_application,web,2025-12-05,49,57000000,traffic,traffic_to_submission,abandoned_before_submit
E00302,premium_application,web,2025-12-22,52,60000000,traffic,traffic_to_submission,did_not_submit
