loan_id,customer_id,product_type,segment,province,origination_date,principal_vnd,interest_rate_pct,term_months,outstanding_vnd,days_past_due,status
LN00092,CU00213,consumer_durable,self_employed,Can Tho,2026-04-20,12000000,28.2,12,11372555,0,current
LN00093,CU00027,motorbike_loan,salaried,Binh Duong,2025-12-11,15000000,31.8,36,13249345,0,current
LN00094,CU00488,personal_loan,self_employed,Hanoi,2024-09-16,102000000,14.9,24,29668746,0,current
LN00095,CU00032,motorbike_loan,self_employed,Hanoi,2025-02-03,29000000,27.1,36,19711594,0,current
LN00096,CU00600,personal_loan,salaried,Hanoi,2026-01-21,145000000,30.2,18,117826388,36,overdue
LN00097,CU00565,motorbike_loan,gig_worker,Hanoi,2024-11-14,44000000,21.7,6,2590847,0,current
LN00098,CU00262,consumer_durable,self_employed,HCMC,2025-09-20,19000000,21.5,6,5224632,0,current
LN00099,CU00601,motorbike_loan,gig_worker,HCMC,2026-03-04,20000000,15.7,18,16917640,0,current
LN00100,CU00361,salary_advance,self_employed,Da Nang,2025-03-17,9000000,29.6,6,113764,0,current
LN00101,CU00575,personal_loan,salaried,Hanoi,2025-01-03,77000000,20.6,18,16666735,0,current
LN00102,CU00317,salary_advance,self_employed,Binh Duong,2024-07-22,13000000,28.9,18,5049443,0,current
LN00103,CU00386,salary_advance,salaried,Hanoi,2025-12-16,4000000,16.6,6,1877656,0,current
LN00104,CU00498,motorbike_loan,salaried,Hanoi,2025-06-13,53000000,16.8,36,42048345,57,overdue
LN00105,CU00047,motorbike_loan,salaried,Hanoi,2024-12-03,37000000,19.1,36,22298917,0,current
LN00106,CU00180,personal_loan,salaried,Dong Nai,2025-10-14,97000000,27.8,18,69415664,311,npl
LN00107,CU00080,personal_loan,salaried,Da Nang,2024-10-16,191000000,29.5,6,43072822,0,current
LN00108,CU00472,salary_advance,self_employed,Da Nang,2024-07-25,9000000,14.4,18,2981256,0,current
LN00109,CU00227,consumer_durable,salaried,Dong Nai,2026-01-23,23000000,23.4,24,19365195,0,current
LN00110,CU00203,personal_loan,self_employed,HCMC,2026-01-15,155000000,20.3,12,119117110,0,current
LN00111,CU00579,personal_loan,self_employed,HCMC,2026-02-23,65000000,27.6,36,60777371,0,current
LN00112,CU00361,motorbike_loan,salaried,Dong Nai,2024-08-07,24000000,22.4,18,1955235,0,current
LN00113,CU00474,motorbike_loan,self_employed,Hanoi,2026-03-14,33000000,29.6,6,23693963,0,current
LN00114,CU00462,motorbike_loan,self_employed,Dong Nai,2026-03-30,51000000,19.8,24,47597675,0,current
LN00115,CU00625,personal_loan,salaried,Dong Nai,2026-02-14,149000000,18.5,24,130442154,0,current
LN00116,CU00259,personal_loan,salaried,Hanoi,2025-03-19,106000000,28.2,18,54359706,87,overdue
LN00117,CU00402,consumer_durable,gig_worker,Can Tho,2025-12-09,23000000,16.5,18,17448622,0,current
LN00118,CU00521,personal_loan,salaried,Can Tho,2024-10-16,116000000,28.6,36,74924323,0,current
LN00119,CU00104,motorbike_loan,salaried,Hanoi,2025-10-04,46000000,32.0,12,26653441,0,current
LN00120,CU00640,motorbike_loan,self_employed,Da Nang,2024-11-18,57000000,25.1,36,35605393,0,current
LN00121,CU00460,consumer_durable,salaried,HCMC,2025-03-17,28000000,31.5,36,19670336,0,current
LN00122,CU00515,personal_loan,gig_worker,HCMC,2025-01-16,69000000,31.7,24,24632476,0,current
LN00123,CU00292,motorbike_loan,gig_worker,Dong Nai,2024-08-30,31000000,22.7,18,5523694,67,overdue
LN00124,CU00406,personal_loan,salaried,HCMC,2024-12-02,57000000,28.7,18,1585240,0,current
LN00125,CU00484,motorbike_loan,gig_worker,HCMC,2025-04-23,16000000,29.1,18,5408729,37,overdue
LN00126,CU00541,consumer_durable,self_employed,HCMC,2025-02-06,7000000,18.6,12,1263348,0,current
LN00127,CU00512,motorbike_loan,salaried,Binh Duong,2026-01-07,30000000,28.3,24,26092982,0,current
LN00128,CU00088,motorbike_loan,self_employed,HCMC,2025-09-06,33000000,25.1,12,12500429,0,current
LN00129,CU00383,motorbike_loan,gig_worker,Hanoi,2024-10-31,47000000,21.0,24,24027062,0,current
LN00130,CU00347,personal_loan,self_employed,HCMC,2025-05-23,81000000,27.9,18,45718352,0,current
LN00131,CU00038,consumer_durable,self_employed,HCMC,2025-01-21,25000000,28.6,6,2839549,0,current
LN00132,CU00293,personal_loan,salaried,HCMC,2026-03-30,100000000,31.8,36,95614667,188,npl
LN00133,CU00396,motorbike_loan,gig_worker,Binh Duong,2025-06-06,22000000,21.9,24,12129446,0,current
LN00134,CU00185,personal_loan,self_employed,HCMC,2025-04-30,152000000,27.1,6,34619085,0,current
LN00135,CU00044,motorbike_loan,salaried,Hanoi,2024-07-04,34000000,26.9,12,4219198,0,current
LN00136,CU00164,consumer_durable,self_employed,Dong Nai,2025-02-20,30000000,15.4,24,16025166,0,current
LN00137,CU00034,salary_advance,self_employed,HCMC,2025-02-17,6000000,28.0,18,2275698,0,current
LN00138,CU00117,motorbike_loan,gig_worker,Can Tho,2025-04-26,19000000,23.5,24,11530779,0,current
LN00139,CU00503,personal_loan,self_employed,HCMC,2024-10-13,50000000,26.7,12,72697,0,current
LN00140,CU00564,personal_loan,salaried,HCMC,2025-11-16,133000000,31.4,18,94556974,0,current
LN00141,CU00506,motorbike_loan,gig_worker,Dong Nai,2024-07-27,38000000,16.2,12,3160601,0,current
LN00142,CU00589,personal_loan,salaried,Da Nang,2024-10-24,53000000,19.6,24,19002074,0,current
LN00143,CU00133,personal_loan,self_employed,Dong Nai,2025-02-05,139000000,16.3,36,86123314,0,current
LN00144,CU00291,motorbike_loan,salaried,Dong Nai,2026-01-04,24000000,16.9,12,16615907,0,current
LN00145,CU00595,consumer_durable,self_employed,HCMC,2024-10-24,25000000,25.1,6,4974268,0,current
LN00146,CU00586,personal_loan,self_employed,Can Tho,2024-08-30,106000000,15.5,36,62354177,0,current
LN00147,CU00496,motorbike_loan,self_employed,Can Tho,2024-08-07,33000000,22.7,24,11251050,88,overdue
LN00148,CU00126,motorbike_loan,salaried,Hanoi,2025-06-19,40000000,20.7,36,32147545,0,current
LN00149,CU00321,personal_loan,salaried,HCMC,2025-07-18,118000000,31.3,12,27003204,0,current
LN00150,CU00221,personal_loan,gig_worker,HCMC,2025-01-18,147000000,15.6,24,68386577,0,current
LN00151,CU00375,motorbike_loan,salaried,HCMC,2024-09-07,58000000,23.7,6,13202475,0,current
LN00152,CU00287,consumer_durable,salaried,Hanoi,2024-10-05,16000000,19.2,24,5310637,0,current
LN00153,CU00204,consumer_durable,self_employed,Can Tho,2025-12-31,16000000,31.8,36,13832045,0,current
LN00154,CU00144,motorbike_loan,salaried,Hanoi,2026-04-02,60000000,22.5,24,56702118,0,current
LN00155,CU00487,personal_loan,salaried,Da Nang,2024-08-18,96000000,28.9,36,49304931,0,current
LN00156,CU00593,consumer_durable,self_employed,Hanoi,2025-03-11,30000000,29.7,6,4837084,0,current
LN00157,CU00033,motorbike_loan,self_employed,Binh Duong,2025-11-18,55000000,27.9,24,45937233,0,current
LN00158,CU00483,motorbike_loan,salaried,Can Tho,2025-02-14,41000000,26.4,24,19113440,0,current
LN00159,CU00178,salary_advance,salaried,Binh Duong,2025-12-21,8000000,32.0,24,6649681,0,current
LN00160,CU00305,motorbike_loan,self_employed,Da Nang,2024-07-22,31000000,17.5,12,8940320,0,current
LN00161,CU00557,consumer_durable,self_employed,Can Tho,2024-12-27,16000000,30.8,18,5193806,0,current
LN00162,CU00220,motorbike_loan,gig_worker,Dong Nai,2025-12-13,17000000,15.4,24,13945706,0,current
LN00163,CU00232,personal_loan,gig_worker,Da Nang,2025-08-06,55000000,24.6,12,26569300,0,current
LN00164,CU00488,motorbike_loan,salaried,HCMC,2025-01-13,58000000,14.1,36,30853111,0,current
LN00165,CU00039,motorbike_loan,gig_worker,HCMC,2025-06-17,56000000,15.6,36,44143915,0,current
LN00166,CU00344,salary_advance,gig_worker,HCMC,2025-11-12,10000000,17.4,18,6302843,145,npl
LN00167,CU00264,personal_loan,self_employed,Dong Nai,2024-12-22,54000000,17.5,6,14457223,0,current
LN00168,CU00089,consumer_durable,salaried,HCMC,2025-07-13,29000000,17.2,24,16628170,0,current
LN00169,CU00310,motorbike_loan,gig_worker,HCMC,2025-01-08,30000000,20.9,24,10843068,0,current
LN00170,CU00319,motorbike_loan,salaried,Da Nang,2025-05-08,30000000,16.1,18,15615787,0,current
LN00171,CU00426,consumer_durable,gig_worker,Can Tho,2025-04-30,12000000,22.6,24,6155889,0,current
LN00172,CU00371,consumer_durable,self_employed,Dong Nai,2024-06-30,26000000,24.7,6,4934730,0,current
LN00173,CU00211,personal_loan,salaried,Da Nang,2024-10-28,149000000,16.7,18,8672633,0,current
LN00174,CU00316,consumer_durable,gig_worker,Hanoi,2025-02-09,9000000,21.5,36,6507621,0,current
LN00175,CU00484,consumer_durable,gig_worker,Hanoi,2025-09-30,6000000,20.2,6,1101207,126,npl
LN00176,CU00553,personal_loan,self_employed,Hanoi,2024-07-24,185000000,22.1,24,57768711,0,current
LN00177,CU00475,personal_loan,salaried,Dong Nai,2024-11-07,120000000,31.6,6,11703388,0,current
LN00178,CU00630,consumer_durable,self_employed,Da Nang,2025-09-18,16000000,19.0,6,6193809,0,current
LN00179,CU00240,consumer_durable,salaried,Dong Nai,2025-10-12,24000000,22.0,6,7250552,315,npl
LN00180,CU00329,motorbike_loan,self_employed,Binh Duong,2025-12-19,33000000,24.4,36,29153817,0,current
LN00181,CU00642,personal_loan,gig_worker,Dong Nai,2024-11-24,76000000,15.1,36,39828348,0,current
LN00182,CU00189,consumer_durable,salaried,Da Nang,2025-05-24,17000000,23.4,24,10511918,0,current
LN00183,CU00339,consumer_durable,gig_worker,Hanoi,2025-07-08,6000000,21.4,24,3736984,32,overdue
LN00184,CU00193,motorbike_loan,gig_worker,Dong Nai,2026-02-06,27000000,20.8,36,24476493,0,current
LN00185,CU00121,consumer_durable,self_employed,Da Nang,2025-10-01,15000000,31.2,6,4729153,0,current
LN00186,CU00368,consumer_durable,gig_worker,Binh Duong,2024-08-31,17000000,23.9,18,4211500,0,current
LN00187,CU00150,personal_loan,gig_worker,Hanoi,2025-01-19,45000000,30.5,18,15993247,204,npl
LN00188,CU00346,personal_loan,self_employed,Da Nang,2025-03-10,95000000,18.1,36,58055090,0,current
LN00189,CU00189,personal_loan,gig_worker,Binh Duong,2024-07-23,145000000,28.3,12,49882405,0,current
LN00190,CU00237,salary_advance,self_employed,Da Nang,2026-03-12,13000000,14.9,6,8027780,0,current
LN00191,CU00017,personal_loan,salaried,HCMC,2025-01-30,115000000,26.0,36,65672636,0,current
LN00192,CU00110,personal_loan,salaried,Da Nang,2024-11-15,90000000,23.0,24,24274220,0,current
LN00193,CU00579,salary_advance,salaried,Da Nang,2024-08-15,7000000,28.3,6,1755455,0,current
LN00194,CU00010,personal_loan,salaried,Can Tho,2026-02-18,187000000,15.7,24,169448464,0,current
LN00195,CU00581,consumer_durable,gig_worker,HCMC,2024-07-20,8000000,30.5,12,2523465,0,current
LN00196,CU00148,motorbike_loan,salaried,HCMC,2025-07-28,51000000,17.2,18,33822541,0,current
LN00197,CU00394,consumer_durable,salaried,Can Tho,2026-02-22,23000000,24.2,24,20496409,0,current
LN00198,CU00610,consumer_durable,gig_worker,HCMC,2026-02-20,6000000,21.9,6,3791288,0,current
LN00199,CU00390,motorbike_loan,salaried,Binh Duong,2025-08-05,46000000,24.0,24,31189165,0,current
LN00200,CU00110,personal_loan,self_employed,Da Nang,2026-02-25,41000000,26.8,12,31817413,0,current
LN00201,CU00027,personal_loan,salaried,Dong Nai,2025-08-08,46000000,21.8,36,35497995,0,current
LN00202,CU00249,personal_loan,self_employed,Da Nang,2025-06-13,118000000,21.0,6,12987370,0,current
LN00203,CU00496,motorbike_loan,salaried,HCMC,2025-12-20,34000000,16.6,12,23036834,0,current
LN00204,CU00341,consumer_durable,gig_worker,Hanoi,2024-08-09,24000000,22.2,12,6675283,0,current
LN00205,CU00491,consumer_durable,gig_worker,Hanoi,2025-02-15,25000000,16.5,18,6304788,0,current
LN00206,CU00403,personal_loan,gig_worker,Dong Nai,2025-07-17,197000000,28.1,18,114870467,0,current
LN00207,CU00299,motorbike_loan,salaried,Dong Nai,2024-10-30,58000000,14.5,24,13130694,0,current
LN00208,CU00387,consumer_durable,gig_worker,HCMC,2025-03-19,9000000,19.5,18,2955743,0,current
LN00209,CU00609,personal_loan,self_employed,Dong Nai,2025-03-27,156000000,23.8,18,49147349,0,current
LN00210,CU00410,motorbike_loan,self_employed,HCMC,2024-07-07,37000000,25.0,36,13516104,0,current
LN00211,CU00227,salary_advance,self_employed,Hanoi,2026-01-23,6000000,23.2,36,5451201,0,current
LN00212,CU00088,motorbike_loan,self_employed,Hanoi,2024-09-16,47000000,32.0,24,20605163,0,current
LN00213,CU00464,personal_loan,salaried,Dong Nai,2025-06-26,107000000,23.4,18,55312371,0,current
LN00214,CU00529,personal_loan,gig_worker,Hanoi,2026-01-14,25000000,26.2,12,16900258,0,current
LN00215,CU00203,personal_loan,self_employed,HCMC,2025-01-23,79000000,17.4,24,39066397,0,current
LN00216,CU00550,motorbike_loan,salaried,Hanoi,2025-10-04,32000000,28.6,6,5409946,0,current
LN00217,CU00357,personal_loan,self_employed,Hanoi,2025-08-16,191000000,19.6,24,130511013,0,current
LN00218,CU00120,motorbike_loan,salaried,Hanoi,2024-06-21,34000000,15.5,12,9340673,0,current
LN00219,CU00178,personal_loan,self_employed,Can Tho,2025-03-09,172000000,21.6,24,80173429,0,current
LN00220,CU00576,motorbike_loan,salaried,Hanoi,2025-06-23,54000000,31.1,24,37798306,0,current
LN00221,CU00551,motorbike_loan,self_employed,Hanoi,2025-03-12,46000000,24.2,12,13025545,0,current
LN00222,CU00043,personal_loan,self_employed,Binh Duong,2024-12-20,160000000,16.1,36,89785230,0,current
LN00223,CU00090,consumer_durable,salaried,Hanoi,2025-03-02,29000000,19.4,6,6383104,0,current
LN00224,CU00143,motorbike_loan,self_employed,Dong Nai,2025-09-11,52000000,29.5,36,40909592,0,current
LN00225,CU00587,consumer_durable,gig_worker,Binh Duong,2024-10-05,13000000,23.7,18,109199,0,current
LN00226,CU00254,personal_loan,gig_worker,Binh Duong,2026-02-03,54000000,29.6,12,38149729,19,overdue
LN00227,CU00096,consumer_durable,self_employed,Can Tho,2024-09-27,25000000,20.8,6,3663722,0,current
LN00228,CU00367,motorbike_loan,self_employed,Binh Duong,2025-04-29,46000000,14.0,6,4950852,0,current
LN00229,CU00050,salary_advance,salaried,Binh Duong,2025-02-26,8000000,28.9,18,2540505,63,overdue
LN00230,CU00136,personal_loan,gig_worker,Can Tho,2026-04-25,51000000,14.0,24,49553029,0,current
LN00231,CU00240,salary_advance,gig_worker,Hanoi,2025-08-04,7000000,15.5,12,3379163,0,current
LN00232,CU00124,motorbike_loan,salaried,HCMC,2025-10-05,19000000,18.1,24,15176473,0,current
LN00233,CU00141,salary_advance,salaried,Hanoi,2026-02-28,14000000,28.5,6,8922615,0,current
LN00234,CU00219,motorbike_loan,gig_worker,Binh Duong,2024-07-24,24000000,24.1,36,11386548,0,current
LN00235,CU00440,motorbike_loan,salaried,HCMC,2025-02-12,20000000,27.5,36,12071078,0,current
LN00236,CU00309,personal_loan,salaried,HCMC,2026-02-14,83000000,27.0,18,70389701,0,current
LN00237,CU00512,personal_loan,salaried,Da Nang,2025-04-05,95000000,30.2,12,19194266,0,current
LN00238,CU00177,motorbike_loan,gig_worker,HCMC,2026-04-29,35000000,29.5,36,34252997,0,current
LN00239,CU00294,consumer_durable,self_employed,Dong Nai,2026-04-24,5000000,17.9,6,4183773,0,current
LN00240,CU00160,motorbike_loan,salaried,Hanoi,2025-03-26,55000000,25.1,18,27902894,27,overdue
LN00241,CU00624,motorbike_loan,self_employed,Hanoi,2024-07-15,56000000,26.6,12,21102906,89,overdue
LN00242,CU00530,personal_loan,self_employed,Can Tho,2025-11-13,50000000,26.6,12,30035870,0,current
LN00243,CU00509,consumer_durable,salaried,Binh Duong,2026-01-02,29000000,20.0,24,24717713,130,npl
LN00244,CU00522,motorbike_loan,self_employed,Hanoi,2024-10-08,38000000,27.9,36,19640760,0,current
LN00245,CU00430,personal_loan,salaried,Binh Duong,2026-03-25,140000000,17.2,6,101679857,0,current
LN00246,CU00048,personal_loan,gig_worker,HCMC,2025-06-18,89000000,16.1,6,29215341,0,current
LN00247,CU00312,salary_advance,self_employed,HCMC,2025-07-26,11000000,22.2,18,6842803,0,current
LN00248,CU00010,consumer_durable,salaried,HCMC,2024-12-22,29000000,18.4,6,784188,268,npl
LN00249,CU00287,salary_advance,self_employed,HCMC,2025-07-01,6000000,21.6,6,65857,0,current
LN00250,CU00404,personal_loan,gig_worker,Dong Nai,2024-11-25,125000000,31.5,6,20961468,0,current
LN00251,CU00326,personal_loan,salaried,Da Nang,2025-12-29,80000000,30.7,24,65328495,0,current
LN00252,CU00213,motorbike_loan,gig_worker,HCMC,2025-12-23,21000000,17.0,24,17825441,274,npl
LN00253,CU00152,motorbike_loan,gig_worker,Hanoi,2026-02-08,58000000,26.5,6,31474345,0,current
LN00254,CU00464,personal_loan,salaried,HCMC,2024-12-02,32000000,28.8,12,12402149,0,current
LN00255,CU00382,motorbike_loan,salaried,Da Nang,2026-01-27,22000000,28.9,12,17216568,0,current
LN00256,CU00052,consumer_durable,salaried,Dong Nai,2024-09-18,5000000,17.6,24,958727,88,overdue
LN00257,CU00287,personal_loan,gig_worker,Da Nang,2025-04-02,147000000,21.7,18,68580316,0,current
LN00258,CU00539,motorbike_loan,self_employed,HCMC,2024-08-18,56000000,21.4,36,28909265,86,overdue
LN00259,CU00330,personal_loan,self_employed,Dong Nai,2026-04-22,117000000,23.8,24,113404133,0,current
LN00260,CU00239,motorbike_loan,salaried,HCMC,2025-09-29,32000000,31.8,36,26716635,0,current
LN00261,CU00178,salary_advance,self_employed,HCMC,2025-08-12,6000000,24.4,24,4145195,0,current
LN00262,CU00193,personal_loan,gig_worker,Da Nang,2025-05-09,171000000,20.3,36,120028919,0,current
