disbursement_date,customer_id,disbursement_amount_vnd,status,product,region
2026-04-06,C001106,48935986,success,CreditLine,Central
2026-04-06,C001107,49678081,success,CashLoan,Central
2026-04-06,C001108,72261864,success,CreditLine,North
2026-04-06,C001109,57576466,success,BNPL,Central
2026-04-06,C001110,36209899,failed,CreditLine,South
2026-04-06,C001111,27171504,success,CreditLine,South
2026-04-06,C001112,26814918,success,CreditLine,Central
2026-04-06,C001113,56685047,success,BNPL,North
2026-04-06,C001114,35374367,success,BNPL,South
2026-04-06,C001115,46821104,success,CashLoan,Central
2026-04-06,C001116,25092356,success,CreditLine,Central
2026-04-06,C001117,37017523,failed,BNPL,South
2026-04-07,C001118,72390923,failed,BNPL,South
2026-04-07,C001119,9529256,success,CreditLine,North
2026-04-07,C001120,66018606,pending,BNPL,South
2026-04-07,C001121,26902298,success,BNPL,North
2026-04-07,C001122,6558456,success,CashLoan,Central
2026-04-07,C001123,34911957,success,BNPL,South
2026-04-07,C001124,56619277,success,AutoLoan,North
2026-04-07,C001125,14362993,failed,CashLoan,North
2026-04-07,C001126,62938371,success,BNPL,South
2026-04-07,C001127,42882746,success,BNPL,North
2026-04-07,C001128,38147560,success,CreditLine,Central
2026-04-07,C001129,50174228,failed,AutoLoan,South
2026-04-07,C001130,37335348,success,AutoLoan,Central
2026-04-07,C001131,22957749,success,CreditLine,South
2026-04-07,C001132,40313970,success,CreditLine,Central
2026-04-07,C001133,8966218,success,BNPL,Central
2026-04-07,C001134,28860260,success,CashLoan,North
2026-04-07,C001135,14613960,success,BNPL,South
2026-04-07,C001136,19474371,success,AutoLoan,Central
2026-04-07,C001137,44781057,success,CashLoan,North
2026-04-07,C001138,67132620,success,CashLoan,South
2026-04-07,C001139,32289339,success,CreditLine,Central
2026-04-07,C001140,61017584,success,BNPL,Central
2026-04-07,C001141,19895465,success,AutoLoan,North
2026-04-07,C001142,32942004,failed,AutoLoan,South
2026-04-07,C001143,15708444,success,BNPL,South
2026-04-07,C001144,44127519,success,CashLoan,North
2026-04-07,C001145,52491722,success,AutoLoan,North
2026-04-07,C001146,6871916,success,CreditLine,North
2026-04-07,C001147,38011848,success,AutoLoan,Central
2026-04-07,C001148,60904756,success,CreditLine,North
2026-04-07,C001149,39213626,pending,CashLoan,Central
2026-04-07,C001150,20265106,success,CashLoan,North
2026-04-07,C001151,76120103,success,CashLoan,South
2026-04-07,C001152,14733440,success,AutoLoan,South
2026-04-07,C001153,11807987,success,AutoLoan,South
2026-04-07,C001154,22730764,success,BNPL,South
2026-04-07,C001155,49758057,pending,CashLoan,North
2026-04-07,C001156,77283499,success,CashLoan,Central
2026-04-07,C001157,47336348,success,AutoLoan,South
2026-04-08,C001158,48591535,success,BNPL,North
2026-04-08,C001159,56683861,success,CashLoan,South
2026-04-08,C001160,63262921,success,AutoLoan,South
2026-04-08,C001161,31533957,success,CreditLine,North
2026-04-08,C001162,68417323,success,CashLoan,Central
2026-04-08,C001163,76980642,success,AutoLoan,South
2026-04-08,C001164,14780318,success,CreditLine,South
2026-04-08,C001165,65231339,success,AutoLoan,Central
2026-04-08,C001166,36539235,failed,CreditLine,Central
2026-04-08,C001167,68581913,success,CreditLine,Central
2026-04-08,C001168,21777484,success,AutoLoan,Central
2026-04-08,C001169,5209899,success,BNPL,Central
2026-04-08,C001170,19333228,success,CreditLine,Central
2026-04-08,C001171,70784638,failed,CreditLine,South
2026-04-08,C001172,3781635,success,CashLoan,North
2026-04-08,C001173,58445749,success,BNPL,South
2026-04-08,C001174,39659169,failed,AutoLoan,Central
2026-04-08,C001175,64055830,success,CreditLine,North
2026-04-08,C001176,34138886,success,CreditLine,South
2026-04-08,C001177,47779780,success,CreditLine,Central
2026-04-08,C001178,79740622,success,CreditLine,Central
2026-04-08,C001179,57119830,success,CreditLine,Central
2026-04-08,C001180,20751429,failed,BNPL,Central
2026-04-08,C001181,12205715,success,BNPL,North
2026-04-08,C001182,19661617,success,CreditLine,South
2026-04-08,C001183,48398191,pending,CreditLine,North
2026-04-08,C001184,67112383,success,BNPL,Central
2026-04-08,C001185,16816998,success,BNPL,Central
2026-04-08,C001186,6504708,success,CreditLine,South
2026-04-08,C001187,75694900,success,AutoLoan,North
2026-04-08,C001188,70199419,success,CreditLine,Central
2026-04-08,C001189,39860994,success,BNPL,North
2026-04-08,C001190,22440836,success,CashLoan,North
2026-04-08,C001191,33854473,success,CashLoan,North
2026-04-08,C001192,14488214,success,CreditLine,North
2026-04-09,C001193,12120770,pending,AutoLoan,South
2026-04-09,C001194,48901767,success,BNPL,South
2026-04-09,C001195,32289108,success,CreditLine,South
2026-04-09,C001196,79232407,success,CashLoan,South
2026-04-09,C001197,76928375,success,BNPL,South
2026-04-09,C001198,19248940,success,CashLoan,North
2026-04-09,C001199,21469618,success,CashLoan,North
2026-04-09,C001200,3206030,success,AutoLoan,Central
2026-04-09,C001201,5513268,success,CreditLine,South
2026-04-09,C001202,69189718,success,BNPL,Central
2026-04-09,C001203,63662758,success,BNPL,Central
2026-04-09,C001204,11837775,success,BNPL,Central
2026-04-09,C001205,66650599,success,CashLoan,North
2026-04-09,C001206,64032399,success,CreditLine,Central
2026-04-09,C001207,12575231,failed,CreditLine,South
2026-04-09,C001208,33993155,success,AutoLoan,Central
2026-04-09,C001209,9194022,success,AutoLoan,South
2026-04-09,C001210,27818761,success,CashLoan,North
2026-04-09,C001211,20627180,failed,CashLoan,South
2026-04-09,C001212,66249435,success,CashLoan,North
2026-04-09,C001213,39228563,success,AutoLoan,Central
2026-04-09,C001214,16974664,success,AutoLoan,South
2026-04-09,C001215,65696860,success,AutoLoan,Central
2026-04-09,C001216,34442803,success,CashLoan,North
2026-04-09,C001217,28394882,failed,AutoLoan,Central
2026-04-09,C001218,54018932,success,CashLoan,Central
2026-04-09,C001219,9780604,success,CreditLine,North
2026-04-09,C001220,77704223,success,CashLoan,South
2026-04-09,C001221,69941296,success,AutoLoan,North
2026-04-09,C001222,17443855,success,AutoLoan,South
2026-04-09,C001223,37037153,success,BNPL,Central
2026-04-09,C001224,45289912,success,AutoLoan,South
2026-04-09,C001225,40322808,success,BNPL,South
2026-04-09,C001226,15195118,success,CashLoan,South
2026-04-09,C001227,34415282,success,CashLoan,Central
2026-04-09,C001228,75923677,success,BNPL,Central
2026-04-09,C001229,74814285,success,CreditLine,Central
2026-04-09,C001230,67273743,success,BNPL,Central
2026-04-09,C001231,45447410,success,BNPL,South
2026-04-09,C001232,42134548,success,CashLoan,Central
2026-04-09,C001233,62495985,success,CreditLine,South
2026-04-09,C001234,23572295,success,CreditLine,South
2026-04-09,C001235,25988800,success,AutoLoan,North
2026-04-09,C001236,37384149,success,CreditLine,Central
2026-04-09,C001237,45497641,success,AutoLoan,Central
2026-04-09,C001238,74829623,success,BNPL,South
2026-04-09,C001239,32488755,pending,AutoLoan,North
2026-04-09,C001240,27499577,success,AutoLoan,Central
2026-04-09,C001241,79107878,success,BNPL,Central
2026-04-10,C001242,12720962,success,CreditLine,North
2026-04-10,C001243,70312658,success,CashLoan,South
2026-04-10,C001244,73104009,success,BNPL,Central
2026-04-10,C001245,70061838,success,CashLoan,Central
2026-04-10,C001246,63177447,success,CreditLine,South
2026-04-10,C001247,56338254,success,CashLoan,Central
2026-04-10,C001248,68630282,success,AutoLoan,Central
2026-04-10,C001249,51263536,pending,AutoLoan,South
2026-04-10,C001250,5764230,success,BNPL,South
2026-04-10,C001251,55698767,success,BNPL,South
2026-04-10,C001252,9959208,success,CashLoan,Central
2026-04-10,C001253,15810088,success,CashLoan,North
2026-04-10,C001254,27976849,success,CreditLine,Central
2026-04-10,C001255,31862763,success,BNPL,South
2026-04-10,C001256,34727984,failed,BNPL,North
2026-04-10,C001257,16480340,success,AutoLoan,South
2026-04-10,C001258,55601362,success,BNPL,North
2026-04-10,C001259,38508543,success,AutoLoan,Central
2026-04-10,C001260,54346735,success,CreditLine,South
2026-04-10,C001261,45088056,success,AutoLoan,Central
2026-04-10,C001262,79049180,success,AutoLoan,South
2026-04-10,C001263,22257563,success,BNPL,Central
2026-04-10,C001264,68706830,success,BNPL,Central
2026-04-10,C001265,47038047,success,CreditLine,South
2026-04-10,C001266,25732768,success,AutoLoan,Central
2026-04-10,C001267,3623543,failed,CashLoan,South
2026-04-10,C001268,60378255,success,BNPL,South
2026-04-10,C001269,64748760,success,BNPL,South
2026-04-10,C001270,22298263,pending,BNPL,South
2026-04-10,C001271,10481622,success,CashLoan,Central
2026-04-10,C001272,63723007,success,CreditLine,South
2026-04-10,C001273,13118709,success,CreditLine,South
2026-04-10,C001274,34993738,success,BNPL,South
2026-04-10,C001275,70487465,success,CreditLine,North
2026-04-10,C001276,22786696,success,CreditLine,South
2026-04-10,C001277,70020565,success,AutoLoan,North
2026-04-10,C001278,13838290,success,AutoLoan,South
2026-04-10,C001279,31164678,success,CashLoan,Central
2026-04-10,C001280,44316067,success,CreditLine,South
2026-04-10,C001281,60673893,success,AutoLoan,South
2026-04-10,C001282,75402475,success,BNPL,Central
2026-04-10,C001283,4926898,success,CreditLine,South
2026-04-10,C001284,20045274,success,AutoLoan,South
2026-04-10,C001285,26268643,success,CashLoan,North
2026-04-10,C001286,6491704,success,CreditLine,Central
2026-04-10,C001287,11941277,success,BNPL,Central
2026-04-10,C001288,37930569,failed,AutoLoan,South
2026-04-10,C001289,60154714,success,AutoLoan,South
2026-04-11,C001290,40679721,success,CreditLine,North
2026-04-11,C001291,56151611,success,AutoLoan,Central
2026-04-11,C001292,76192748,success,CashLoan,South
2026-04-11,C001293,31284791,success,CreditLine,North
2026-04-11,C001294,33656752,success,CashLoan,Central
2026-04-11,C001295,10058853,success,CashLoan,North
2026-04-11,C001296,63583183,success,BNPL,South
2026-04-11,C001297,18800829,pending,BNPL,South
2026-04-11,C001298,19628254,success,CreditLine,North
2026-04-11,C001299,63725569,success,CashLoan,Central
2026-04-11,C001300,69097271,success,BNPL,South
2026-04-11,C001301,22300373,success,CashLoan,South
2026-04-11,C001302,69716487,success,CashLoan,Central
2026-04-11,C001303,63828819,success,CreditLine,North
2026-04-11,C001304,16416957,success,BNPL,South
2026-04-12,C001305,11750996,success,AutoLoan,Central
2026-04-12,C001306,62907312,success,CashLoan,Central
2026-04-12,C001307,41795579,success,CashLoan,South
2026-04-12,C001308,63308478,success,CreditLine,Central
2026-04-12,C001309,52537232,success,CashLoan,Central
2026-04-12,C001310,68241987,success,CashLoan,Central
2026-04-12,C001311,57854901,success,CashLoan,North
2026-04-12,C001312,27802610,success,CashLoan,North
2026-04-12,C001313,24176231,success,CreditLine,Central
2026-04-12,C001314,79586337,success,CreditLine,Central
2026-04-12,C001315,41927432,success,CashLoan,South
2026-04-12,C001316,11809883,success,BNPL,Central
2026-04-12,C001317,37769728,success,AutoLoan,Central
2026-04-12,C001318,66711280,success,AutoLoan,South
2026-04-12,C001319,10321609,success,CreditLine,South
2026-04-12,C001320,22626514,success,AutoLoan,North
2026-04-12,C001321,10024308,success,CashLoan,Central
2026-04-12,C001322,10435461,failed,CreditLine,North
2026-04-13,C001323,48157811,success,CreditLine,South
2026-04-13,C001324,12411808,success,AutoLoan,South
2026-04-13,C001325,6961348,success,CreditLine,Central
2026-04-13,C001326,10977243,success,BNPL,North
2026-04-13,C001327,53568695,success,CashLoan,Central
2026-04-13,C001328,68093753,success,CashLoan,Central
2026-04-13,C001329,47205700,success,CashLoan,South
2026-04-13,C001330,74539490,failed,CreditLine,North
2026-04-13,C001331,16892037,failed,CreditLine,Central
2026-04-13,C001332,30028803,success,BNPL,South
2026-04-13,C001333,53615536,success,BNPL,South
2026-04-13,C001334,51754244,success,CashLoan,South
2026-04-13,C001335,43847167,success,AutoLoan,Central
2026-04-13,C001336,29248990,success,CreditLine,South
2026-04-13,C001337,27977482,success,CashLoan,North
2026-04-13,C001338,14979652,pending,CashLoan,South
2026-04-13,C001339,9281777,success,AutoLoan,Central
2026-04-13,C001340,49744852,success,CreditLine,North
2026-04-13,C001341,61130622,success,CreditLine,Central
2026-04-13,C001342,11538512,failed,AutoLoan,South
2026-04-13,C001343,54369207,success,BNPL,Central
2026-04-13,C001344,78802315,success,CashLoan,North
2026-04-13,C001345,26209290,success,BNPL,Central
2026-04-13,C001346,25287429,success,CashLoan,Central
2026-04-13,C001347,60520087,success,BNPL,Central
2026-04-13,C001348,44008840,success,CreditLine,North
2026-04-13,C001349,33574480,failed,CashLoan,Central
2026-04-13,C001350,4443098,success,CreditLine,South
2026-04-13,C001351,36054890,success,AutoLoan,Central
2026-04-13,C001352,11868349,success,CreditLine,North
2026-04-13,C001353,64701805,success,AutoLoan,South
2026-04-13,C001354,73822270,success,AutoLoan,North
2026-04-13,C001355,21735368,success,AutoLoan,South
2026-04-13,C001356,9055825,success,CreditLine,North
2026-04-13,C001357,28646283,success,CashLoan,South
2026-04-13,C001358,51758299,success,BNPL,Central
2026-04-13,C001359,30034679,success,BNPL,North
2026-04-13,C001360,10915948,success,BNPL,North
2026-04-13,C001361,49384721,pending,CashLoan,North
2026-04-13,C001362,76249494,success,AutoLoan,Central
2026-04-13,C001363,61092328,pending,AutoLoan,South
2026-04-13,C001364,74159877,success,CreditLine,South
2026-04-14,C001365,36861736,success,AutoLoan,South
2026-04-14,C001366,26317173,success,CashLoan,Central
2026-04-14,C001367,42064940,success,AutoLoan,Central
2026-04-14,C001368,5895757,success,CreditLine,North
2026-04-14,C001369,52639318,success,AutoLoan,Central
2026-04-14,C001370,47685364,failed,CashLoan,Central
2026-04-14,C001371,72996846,success,BNPL,Central
2026-04-14,C001372,49585449,success,BNPL,North
2026-04-14,C001373,37690279,success,CashLoan,South
2026-04-14,C001374,52751786,success,BNPL,South
2026-04-14,C001375,36707387,success,BNPL,Central
2026-04-14,C001376,31709602,success,AutoLoan,Central
2026-04-14,C001377,62633788,failed,CashLoan,South
2026-04-14,C001378,52842512,success,CreditLine,North
2026-04-14,C001379,45963167,success,CreditLine,Central
2026-04-14,C001380,58727491,success,BNPL,Central
2026-04-14,C001381,9275653,success,BNPL,Central
2026-04-14,C001382,26887843,success,AutoLoan,North
2026-04-14,C001383,48818174,success,CreditLine,South
2026-04-14,C001384,32004306,success,BNPL,South
2026-04-14,C001385,57117977,failed,CashLoan,South
2026-04-14,C001386,54625115,success,CreditLine,North
2026-04-14,C001387,30920020,success,BNPL,Central
2026-04-14,C001388,75970456,success,BNPL,North
2026-04-14,C001389,79998199,success,CashLoan,Central
2026-04-14,C001390,68020985,success,CashLoan,South
2026-04-14,C001391,28930856,pending,BNPL,South
2026-04-14,C001392,32007430,success,BNPL,South
2026-04-14,C001393,62374531,success,AutoLoan,North
2026-04-14,C001394,34636113,failed,BNPL,Central
2026-04-14,C001395,50015847,pending,AutoLoan,North
2026-04-14,C001396,44118858,success,AutoLoan,North
2026-04-14,C001397,31323753,success,AutoLoan,Central
2026-04-14,C001398,62246768,pending,AutoLoan,South
2026-04-14,C001399,43614403,success,BNPL,South
2026-04-14,C001400,13656687,success,CashLoan,South
2026-04-14,C001401,40005480,success,CashLoan,South
2026-04-14,C001402,68133705,success,CreditLine,North
2026-04-15,C001403,24004930,success,BNPL,Central
2026-04-15,C001404,10061944,success,AutoLoan,Central
2026-04-15,C001405,74646338,success,CashLoan,Central
2026-04-15,C001406,41654547,success,AutoLoan,North
2026-04-15,C001407,31868275,success,CreditLine,North
2026-04-15,C001408,67616574,success,CreditLine,North
2026-04-15,C001409,13595168,success,AutoLoan,South
2026-04-15,C001410,66995507,pending,AutoLoan,Central
2026-04-15,C001411,50381815,success,CashLoan,Central
2026-04-15,C001412,19605415,success,AutoLoan,North
2026-04-15,C001413,62765292,success,CreditLine,North
2026-04-15,C001414,6676707,success,AutoLoan,North
2026-04-15,C001415,11536057,success,CashLoan,South
2026-04-15,C001416,42683931,success,BNPL,Central
2026-04-15,C001417,36051394,success,CreditLine,North
2026-04-15,C001418,46941106,success,CashLoan,South
2026-04-15,C001419,78048395,success,CashLoan,Central
2026-04-15,C001420,70246520,success,AutoLoan,Central
2026-04-15,C001421,22531070,success,CreditLine,North
2026-04-15,C001422,29549791,failed,CashLoan,South
2026-04-15,C001423,59609397,success,BNPL,North
2026-04-15,C001424,30127026,success,BNPL,South
2026-04-15,C001425,38775963,failed,AutoLoan,South
2026-04-15,C001426,17035405,success,CashLoan,South
2026-04-15,C001427,62766660,success,CashLoan,Central
2026-04-15,C001428,18522506,success,CashLoan,Central
2026-04-15,C001429,74869565,success,AutoLoan,South
2026-04-15,C001430,39451782,success,BNPL,Central
2026-04-15,C001431,30487011,pending,CashLoan,South
2026-04-15,C001432,28558200,success,CreditLine,Central
2026-04-15,C001433,71490461,pending,AutoLoan,Central
2026-04-15,C001434,29105820,success,AutoLoan,South
2026-04-15,C001435,41309301,success,CreditLine,North
2026-04-15,C001436,58985261,success,AutoLoan,South
2026-04-15,C001437,79622558,success,CreditLine,Central
2026-04-15,C001438,10900038,success,CreditLine,Central
2026-04-15,C001439,37335513,failed,AutoLoan,North
2026-04-15,C001440,56111890,success,AutoLoan,North
2026-04-15,C001441,58964708,success,AutoLoan,Central
2026-04-15,C001442,52239136,success,CashLoan,South
2026-04-15,C001443,52088465,success,BNPL,North
2026-04-15,C001444,13994019,success,AutoLoan,North
2026-04-15,C001445,12719711,success,CreditLine,Central
2026-04-15,C001446,32479788,success,CashLoan,South
2026-04-15,C001447,14814738,success,CreditLine,Central
2026-04-15,C001448,37183325,success,BNPL,South
2026-04-16,C001449,27207678,success,BNPL,North
2026-04-16,C001450,4995327,success,AutoLoan,South
2026-04-16,C001451,32798028,success,CashLoan,Central
2026-04-16,C001452,62672265,failed,AutoLoan,North
2026-04-16,C001453,79720113,success,AutoLoan,North
2026-04-16,C001454,12443081,success,AutoLoan,North
2026-04-16,C001455,72198285,success,CashLoan,South
2026-04-16,C001456,77502215,success,CreditLine,South
2026-04-16,C001457,8000309,success,CreditLine,Central
2026-04-16,C001458,68554877,failed,BNPL,Central
2026-04-16,C001459,42174192,success,BNPL,North
2026-04-16,C001460,21228686,success,CashLoan,Central
2026-04-16,C001461,45659650,success,AutoLoan,South
2026-04-16,C001462,12992384,success,CashLoan,Central
2026-04-16,C001463,33658318,failed,AutoLoan,South
2026-04-16,C001464,34631224,success,CashLoan,North
2026-04-16,C001465,77873239,success,CashLoan,Central
2026-04-16,C001466,38869156,success,CreditLine,North
2026-04-16,C001467,70602931,pending,BNPL,North
2026-04-16,C001468,36311608,success,CashLoan,South
2026-04-16,C001469,14782190,success,BNPL,Central
2026-04-16,C001470,74974813,success,CreditLine,South
2026-04-16,C001471,71909295,success,CreditLine,North
2026-04-16,C001472,51899396,success,CreditLine,North
2026-04-16,C001473,51126721,success,CashLoan,South
2026-04-16,C001474,52356031,success,BNPL,North
2026-04-16,C001475,53722431,failed,CreditLine,South
2026-04-16,C001476,6171961,success,CashLoan,North
2026-04-16,C001477,76038107,pending,CreditLine,South
2026-04-16,C001478,19232245,success,AutoLoan,South
2026-04-16,C001479,52202321,success,CreditLine,South
2026-04-16,C001480,76662063,success,BNPL,South
2026-04-16,C001481,34269124,success,CashLoan,South
2026-04-16,C001482,7613303,success,AutoLoan,Central
2026-04-16,C001483,38762046,success,BNPL,Central
2026-04-16,C001484,69334350,success,CreditLine,Central
2026-04-16,C001485,13068993,success,CashLoan,Central
2026-04-16,C001486,21613815,success,CreditLine,Central
2026-04-16,C001487,22089753,success,CashLoan,Central
2026-04-17,C001488,69540616,success,BNPL,North
2026-04-17,C001489,65637794,success,CreditLine,North
2026-04-17,C001490,61760345,success,AutoLoan,Central
2026-04-17,C001491,70688826,success,CashLoan,North
2026-04-17,C001492,75782925,success,AutoLoan,North
2026-04-17,C001493,19566120,success,CashLoan,North
2026-04-17,C001494,24664438,success,AutoLoan,Central
2026-04-17,C001495,44325187,success,AutoLoan,North
2026-04-17,C001496,70949091,failed,CreditLine,Central
2026-04-17,C001497,31177176,success,CashLoan,South
2026-04-17,C001498,46259898,success,CreditLine,North
2026-04-17,C001499,32748859,success,CreditLine,South
2026-04-17,C001500,55390695,success,BNPL,North
2026-04-17,C001501,33330585,success,CreditLine,North
2026-04-17,C001502,18327456,success,AutoLoan,South
2026-04-17,C001503,6099627,success,BNPL,South
2026-04-17,C001504,28644134,success,AutoLoan,North
2026-04-17,C001505,49682060,success,BNPL,Central
2026-04-17,C001506,74715392,success,BNPL,Central
2026-04-17,C001507,79277411,failed,CreditLine,South
2026-04-17,C001508,28900755,success,AutoLoan,South
2026-04-17,C001509,46345168,success,CashLoan,Central
2026-04-17,C001510,28505448,success,AutoLoan,South
2026-04-17,C001511,26691193,failed,CashLoan,South
2026-04-17,C001512,39543446,success,BNPL,South
2026-04-17,C001513,6954347,success,BNPL,South
2026-04-17,C001514,51434943,success,AutoLoan,North
2026-04-17,C001515,66267919,success,CashLoan,South
2026-04-17,C001516,76011798,success,BNPL,North
2026-04-17,C001517,36959969,success,BNPL,Central
2026-04-17,C001518,56168520,success,AutoLoan,South
2026-04-17,C001519,59009961,failed,BNPL,South
2026-04-17,C001520,18965311,success,AutoLoan,South
2026-04-17,C001521,32015507,success,AutoLoan,South
2026-04-17,C001522,29359180,success,CreditLine,South
2026-04-17,C001523,40281867,success,CreditLine,South
2026-04-17,C001524,25984435,success,CreditLine,South
2026-04-17,C001525,18960390,failed,AutoLoan,Central
2026-04-17,C001526,39944863,success,CreditLine,Central
2026-04-17,C001527,12384306,failed,AutoLoan,Central
2026-04-17,C001528,66015064,pending,BNPL,Central
2026-04-17,C001529,6239119,failed,CashLoan,Central
2026-04-17,C001530,74148741,success,CreditLine,South
2026-04-17,C001531,39889103,success,CreditLine,South
2026-04-17,C001532,56605190,success,CashLoan,South
2026-04-17,C001533,60048605,success,BNPL,North
2026-04-17,C001534,54577215,success,BNPL,South
2026-04-17,C001535,20928415,success,AutoLoan,Central
2026-04-17,C001536,58236570,success,BNPL,North
2026-04-18,C001537,78299124,success,AutoLoan,South
2026-04-18,C001538,74997471,success,AutoLoan,South
2026-04-18,C001539,18358110,success,CreditLine,Central
2026-04-18,C001540,52734139,pending,CashLoan,South
2026-04-18,C001541,47208268,success,CashLoan,North
2026-04-18,C001542,35177143,success,CashLoan,Central
2026-04-18,C001543,63672968,success,CreditLine,North
2026-04-18,C001544,3713571,success,CashLoan,Central
2026-04-18,C001545,24911247,success,AutoLoan,North
2026-04-18,C001546,68531599,success,CreditLine,North
2026-04-18,C001547,65278668,success,BNPL,South
